ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,distance_meters,order_Drinks,order_Meal,order_Snack,vehicle_electric_scooter,vehicle_motorcycle,vehicle_scooter,Time_taken_min
4347,MUMRES07DEL01,25,4.0,1529.8767913552258,0,1,0,0,1,0,19
11B4,VADRES13DEL03,32,4.2,13631.34369814336,0,1,0,0,1,0,35
8336,HYDRES20DEL01,36,4.7,1536.6213355986192,0,1,0,0,1,0,25
338B,JAPRES18DEL03,37,4.6,20851.55740266031,0,0,0,0,0,1,26
3FB2,MUMRES11DEL03,29,4.7,13771.132894838225,0,1,0,0,0,1,21
9767,MUMRES14DEL01,20,4.9,1529.4841761001007,0,1,0,0,1,0,18
2188,MYSRES13DEL02,38,4.6,12435.540495461826,0,0,0,0,1,0,18
6CBD,JAPRES01DEL02,21,4.9,11916.994721599456,0,0,0,0,1,0,20
954E,MUMRES08DEL03,36,4.7,13768.325585875342,1,0,0,0,1,0,42
BEAA,MYSRES05DEL02,33,4.6,20206.316416481208,0,1,0,1,0,0,30
3DC2,HYDRES02DEL02,25,4.5,12294.124530423833,0,0,0,0,1,0,34
E26C,KOLRES09DEL01,30,4.4,16648.63698726148,0,0,1,0,1,0,32
D6C8,GOARES010DEL02,28,4.8,7719.720634478159,1,0,0,0,0,1,20
C29F,KOCRES18DEL03,31,4.0,14045.662159129055,0,0,0,0,1,0,42
9E5D,COIMBRES15DEL02,24,4.6,20253.584375809583,0,0,0,0,0,1,22
DD48,KNPRES03DEL01,37,4.7,5969.103925572616,0,0,1,0,0,1,27
34F1,HYDRES17DEL03,33,4.3,13829.273672566569,0,0,0,0,1,0,44
70B,JAPRES19DEL03,29,4.6,20851.578809643393,0,0,1,0,0,1,19
3895,RANCHIRES07DEL01,33,4.9,1509.438315599533,0,1,0,1,0,0,21
9BC1,COIMBRES14DEL02,37,4.9,7790.401204068436,1,0,0,0,1,0,24
EC8,VADRES04DEL01,37,4.6,11007.734763744618,1,0,0,0,1,0,40
8777,COIMBRES02DEL02,29,4.7,12463.937409088205,1,0,0,0,0,1,23
7918,MUMRES03DEL03,36,4.8,4587.76137897041,0,1,0,0,0,1,18
B636,COIMBRES16DEL02,28,4.4,7790.314135591803,0,0,0,0,1,0,29
8584,PUNERES07DEL01,20,4.9,16852.086415672475,0,0,1,0,0,1,25
E058,ALHRES15DEL01,28,4.7,16476.590576084116,0,0,0,0,1,0,20
883D,COIMBRES07DEL01,21,4.2,17139.219742258963,1,0,0,0,1,0,39
6E6B,SURRES11DEL02,23,4.0,12162.115707004754,1,0,0,0,1,0,38
8DAB,MYSRES05DEL03,22,4.9,4663.432201619829,1,0,0,0,0,1,15
8D05,VADRES04DEL01,37,4.4,11007.734763744618,0,1,0,0,1,0,50
A82A,PUNERES20DEL01,35,4.8,1532.0260227344966,0,0,1,0,0,1,13
5F6F,CHENRES19DEL02,34,4.7,20180.635114113968,0,0,0,0,1,0,42
4CE,BANGRES20DEL01,29,4.6,17340521.818137396,0,0,1,1,0,0,19
4B2,HYDRES12DEL02,29,4.6,17559408.039501138,0,0,0,1,0,0,16
C52C,LUDHRES02DEL02,20,4.6,20442.92976252901,0,1,0,0,1,0,26
42C8,INDORES08DEL01,24,4.8,1512.6165219143393,0,0,1,0,1,0,13
7538,VADRES07DEL01,21,4.0,11007.734763744618,0,0,1,0,1,0,32
B532,CHENRES010DEL02,26,4.6,20177.41678822209,0,0,1,0,1,0,19
D06,HYDRES17DEL01,33,4.0,6146.746629962324,0,0,1,0,1,0,32
390F,COIMBRES14DEL02,27,4.8,3116.2384958439,0,0,0,0,1,0,12
49B9,RANCHIRES20DEL01,22,4.6,10563.519849475368,0,0,1,0,1,0,31
A158,SURRES08DEL03,32,4.9,13681.492022668552,0,1,0,0,1,0,41
DD94,GOARES12DEL03,37,4.7,9264.20124533124,0,0,0,0,0,1,20
7FBD,MYSRES13DEL03,28,4.5,9326.829542520041,0,0,1,0,1,0,10
D761,AGRRES19DEL02,39,5.0,3145.067434621583,0,0,0,0,1,0,21
B11B,RANCHIRES19DEL02,31,4.5,3019.0991967407926,1,0,0,0,0,1,15
5CD7,MYSRES15DEL01,24,4.6,6217.52560492399,0,0,1,0,1,0,20
2.7E+07,JAPRES06DEL02,20,4.5,11916.679298853871,1,0,0,0,0,1,17
B2D8,BANGRES02DEL03,29,4.8,9315.07106029513,1,0,0,0,1,0,10
A9EB,CHENRES13DEL02,39,3.6,12418.462399626802,0,0,1,0,0,1,34
293E,VADRES010DEL02,32,4.2,7573.4678219499865,0,1,0,0,1,0,34
65D8,HYDRES19DEL01,20,4.9,1536.7187556839162,0,0,1,0,1,0,19
7EE8,MUMRES17DEL03,31,4.4,13766.116995712071,0,1,0,0,1,0,39
9DB0,JAPRES08DEL01,22,4.7,5958.847028253512,0,0,0,0,1,0,21
2E+02,BANGRES07DEL03,32,4.2,13971.968544834714,0,0,1,0,1,0,33
1645,MYSRES15DEL01,20,4.9,17097.07394317728,0,0,0,0,0,1,18
4D25,COIMBRES16DEL02,33,4.2,20253.459166411765,0,1,0,0,0,1,35
659C,JAPRES15DEL01,26,4.3,5959.293109821583,1,0,0,0,0,1,33
AC8A,BANGRES19DEL02,37,4.2,3105.4853062814796,1,0,0,0,1,0,31
992E,MUMRES05DEL02,37,4.9,3061.134013686154,1,0,0,0,1,0,15
D363,AGRRES05DEL03,20,4.8,8927.643512640509,0,0,1,0,1,0,18
8B7F,RANCHIRES14DEL02,33,4.7,12580.267822400961,1,0,0,0,1,0,37
BC0A,JAPRES11DEL01,35,4.6,5959.018323622156,1,0,0,0,0,1,25
CDE0,KOLRES13DEL02,34,4.8,19672.49528098237,0,0,1,0,0,1,44
CC76,AURGRES09DEL03,37,5.0,4579.067429409246,1,0,0,0,1,0,32
3351,CHENRES11DEL03,25,4.6,4656.811824870968,0,0,1,0,0,1,17
405B,PUNERES08DEL02,34,4.4,12257.012194098405,0,1,0,0,0,1,34
3D88,COIMBRES13DEL02,22,4.8,3116.2385581766157,0,0,1,1,0,0,14
D5C1,AGRRES07DEL02,33,4.6,11904.977225765439,0,1,0,0,0,1,27
B3F5,MYSRES13DEL03,31,4.6,13989.85232208903,0,1,0,0,1,0,26
9F9C,HYDRES05DEL02,38,3.7,12293.433786974467,0,1,0,0,1,0,33
A9C7,VADRES06DEL03,32,4.9,9087.937068016328,0,1,0,1,0,0,30
9228,VADRES16DEL03,22,4.6,9435.201537430712,1,0,0,0,0,1,32
5488,COIMBRES08DEL03,33,4.9,14022.295961634216,0,0,0,0,1,0,24
66B8,PUNERES02DEL03,38,4.5,9192.571532077354,1,0,0,0,0,1,30
CCE9,KOCRES13DEL02,35,4.6,3121.260512333129,0,1,0,0,1,0,29
A4B2,HYDRES15DEL03,23,4.8,9219.691659524231,0,0,0,0,1,0,14
4E+38,SURRES06DEL01,21,4.8,16720.678992753372,0,0,0,0,1,0,28
3E+19,SURRES13DEL01,32,4.8,1520.372837972029,0,0,0,0,1,0,25
404D,BANGRES03DEL01,26,4.6,10867.28524071429,0,0,0,0,0,1,23
AF97,JAPRES18DEL02,37,4.6,19362.54180430375,0,0,1,0,1,0,19
8381,CHENRES08DEL02,28,4.7,12418.575637818305,0,0,1,0,1,0,16
5C21,COIMBRES09DEL03,20,4.9,9348.325936764757,1,0,0,1,0,0,19
557,MYSRES17DEL01,29,4.6,17097.896810815786,0,0,0,1,0,0,34
5282,BANGRES13DEL02,34,4.9,3105.3555451187217,0,1,0,0,0,1,21
B296,INDORES03DEL02,30,4.7,19659.373527444088,1,0,0,0,1,0,17
C18E,DEHRES02DEL02,21,4.1,12580.267822400961,0,0,1,0,0,1,44
67FA,SURRES07DEL02,21,5.0,12161.615481620156,0,0,1,0,1,0,38
885A,BANGRES17DEL02,30,4.8,20181.172140809642,0,0,1,0,0,1,30
68DB,MYSRES05DEL01,33,4.7,17097.97286136178,0,0,1,0,1,0,30
892A,COIMBRES08DEL02,25,4.9,12464.367397048813,0,0,0,1,0,0,20
36C4,HYDRES19DEL03,38,4.4,9219.708856173831,0,0,1,0,1,0,31
DBD2,KOCRES02DEL03,23,4.5,9362.979595288152,0,1,0,0,0,1,22
2467,VADRES14DEL01,29,4.7,6058.848944529893,0,0,1,0,1,0,24
216A,JAPRES14DEL02,31,4.6,11917.779612814193,1,0,0,1,0,0,16
314F,MUMRES15DEL02,27,4.8,3058.968615636912,0,0,1,0,0,1,19
7502,INDORES19DEL02,34,4.9,12099.354574707202,0,1,0,0,1,0,33
35BA,COIMBRES02DEL03,22,5.0,9348.109676504197,0,0,0,1,0,0,21
B6A4,MYSRES20DEL02,26,4.6,7772.038818805788,0,0,1,0,1,0,25
8F53,INDORES09DEL01,24,4.8,6050.4860216412835,1,0,0,0,1,0,21
4AF2,MYSRES08DEL03,20,4.9,9327.055824817067,0,0,1,0,1,0,17
B2E,MYSRES18DEL01,33,4.1,10880.65184853536,0,0,0,0,1,0,50
A268,JAPRES12DEL02,28,4.9,7448.627554424468,0,0,1,0,0,1,18
C2F6,KNPRES11DEL03,27,5.0,20887.331234788133,0,1,0,0,1,0,23
A794,JAPRES12DEL03,35,4.6,8938.177476638093,1,0,0,0,0,1,16
5B0,MYSRES04DEL01,50,6.0,17098.467518756366,0,0,1,1,0,0,35
C02A,BHPRES04DEL01,28,4.6,5163896.155749033,0,0,0,0,1,0,23
3074,HYDRES04DEL02,21,4.2,3073.782598017484,0,0,0,0,1,0,22
58A6,CHENRES20DEL02,39,4.7,12419.709768770994,0,0,1,0,1,0,53
A6D3,MUMRES09DEL02,25,4.6,3060.557773040626,0,0,1,0,0,1,11
6984,MUMRES15DEL01,35,4.3,1529.5062057769912,0,0,1,0,0,1,32
9874,SURRES03DEL02,21,4.8,3040.537241644738,0,1,0,1,0,0,17
9130,CHENRES11DEL03,25,4.9,4656.811824870968,0,0,1,0,1,0,31
4AF5,BANGRES15DEL02,39,4.8,7762.556904358387,0,0,1,0,1,0,31
433A,BANGRES08DEL02,29,4.8,12421.407858788074,1,0,0,0,1,0,15
8664,BANGRES02DEL01,34,4.7,17076.79057474322,0,0,1,0,1,0,40
93C6,SURRES19DEL03,20,4.9,9122.105539589877,0,0,0,0,1,0,24
9A94,VADRES08DEL01,33,4.8,6290.134677634678,0,0,0,0,1,0,32
C51D,BHPRES19DEL01,34,4.2,6290.134677634678,0,1,0,1,0,0,37
9355,HYDRES08DEL03,26,4.3,9220.209378255118,0,0,1,0,1,0,48
4406,CHENRES02DEL01,21,4.7,10865.065738215877,0,0,0,0,0,1,22
7911,MYSRES18DEL03,27,4.8,13989.147573067978,0,0,0,0,1,0,36
9CCD,COIMBRES08DEL03,31,4.8,9348.431884826694,0,0,0,0,1,0,25
C41,INDORES03DEL01,27,4.6,6049.956259947207,0,1,0,0,1,0,15
3739,MYSRES06DEL03,21,4.7,13989.512053558421,0,0,0,0,0,1,15
755C,JAPRES16DEL02,34,4.2,11919.595217847733,0,0,1,0,1,0,51
7E+10,VADRES16DEL03,29,4.8,9435.201537430712,1,0,0,0,1,0,28
245A,VADRES08DEL02,22,4.2,3145.067434621583,0,1,0,0,1,0,29
1042,HYDRES18DEL03,20,4.7,13829.314445199007,0,1,0,0,1,0,29
774F,RANCHIRES09DEL01,26,4.5,6037.614687084432,1,0,0,0,1,0,46
E02B,BHPRES05DEL02,36,4.3,19628.43373220943,0,0,1,0,0,1,36
BA97,INDORES17DEL01,27,4.7,10586.484616278236,0,1,0,0,1,0,12
DEED,ALHRES19DEL03,22,4.1,8987.828354730018,0,0,1,0,0,1,33
7BCF,MYSRES010DEL03,32,4.1,13989.58472463614,0,1,0,0,1,0,45
41C2,CHENRES06DEL01,27,4.8,6209.141643212614,0,1,0,0,0,1,13
3803,MYSRES01DEL03,37,4.6,13989.84971037221,0,0,0,0,1,0,28
96BB,BANGRES04DEL01,25,4.6,17076.44834661671,0,0,1,0,0,1,27
8BD4,VADRES18DEL02,28,4.9,20442.92976252901,0,0,1,0,1,0,20
4A8D,MYSRES15DEL01,32,4.3,10880.364286277023,0,0,0,0,1,0,39
47D5,HYDRES17DEL01,27,4.7,6146.746629962324,0,1,0,0,1,0,29
E74,JAPRES09DEL03,29,4.6,8937.880155829569,0,1,0,0,1,0,16
A4FF,RANCHIRES03DEL01,33,4.9,11007.734763744618,1,0,0,0,0,1,40
8911,CHENRES03DEL01,38,4.4,10864.87049885657,1,0,0,0,1,0,33
B37F,BANGRES20DEL02,22,4.7,12419.803337139792,1,0,0,0,1,0,35
94CF,HYDRES20DEL02,33,4.8,7682.703792667153,0,0,1,0,0,1,17
C1A3,DEHRES17DEL03,26,4.5,4406.348380307672,1,0,0,0,1,0,20
69DB,SURRES15DEL03,35,4.6,13682.044526080337,0,1,0,0,1,0,45
2780,MYSRES05DEL02,24,4.8,7772.241951547877,0,0,0,0,1,0,23
1257,MYSRES07DEL02,29,4.9,20206.260324074505,1,0,0,0,0,1,17
E203,KNPRES07DEL01,27,4.7,1492.345279281079,0,1,0,0,1,0,10
8FFA,COIMBRES03DEL03,24,4.7,14021.750803377736,0,1,0,0,0,1,32
9A20,VADRES010DEL03,35,4.2,4544.23097525285,0,1,0,1,0,0,33
948B,VADRES17DEL01,24,4.5,6290.134677634678,0,1,0,0,1,0,28
1433,MYSRES20DEL02,22,4.9,7772.038818805788,1,0,0,0,1,0,12
1637,COIMBRES16DEL02,24,4.7,7790.314135591803,0,0,0,0,1,0,24
8130,RANCHIRES12DEL03,31,4.7,9435.201537430712,1,0,0,0,1,0,16
3516,CHENRES11DEL02,39,4.5,7761.199672759796,0,1,0,0,0,1,30
4D3A,MYSRES02DEL02,35,4.9,20207.04994057408,0,1,0,1,0,0,47
513,HYDRES07DEL01,29,4.6,17548665.205431476,1,0,0,0,0,1,17
CAEA,AGRRES010DEL02,35,3.5,11904.865487130734,0,0,1,0,1,0,31
218B,INDORES03DEL02,36,4.2,19659.373527444088,1,0,0,0,0,1,42
4B9B,BANGRES08DEL01,39,4.6,6210.9467418115755,0,0,1,0,0,1,25
2874,SURRES010DEL03,29,4.9,13681.59042685469,0,0,1,0,0,1,26
2EAB,RANCHIRES010DEL01,25,4.2,6037.54463019473,0,1,0,0,1,0,44
1FBC,MUMRES03DEL03,39,4.8,9175.1272916389,0,0,1,0,0,1,17
B152,CHENRES06DEL03,21,4.8,9313.528459379997,0,0,0,0,1,0,12
D759,ALHRES15DEL03,27,4.5,8988.071540167575,0,0,0,0,0,1,18
45D9,COIMBRES19DEL02,23,4.8,7790.158927085036,1,0,0,0,0,1,13
B18,CHENRES06DEL01,37,4.8,17073.957291397175,0,0,1,0,1,0,42
52AA,CHENRES14DEL02,29,4.7,3104.80375328542,0,0,1,0,1,0,28
2D52,RANCHIRES16DEL01,22,2.5,10564.540523828766,0,0,0,0,1,0,35
8B4,MYSRES15DEL02,29,4.6,20205.25323529313,0,0,1,1,0,0,45
867E,JAPRES13DEL01,30,4.9,5960.345509793814,0,0,0,0,0,1,15
A9E,CHENRES06DEL02,29,4.6,3104.6320933509696,0,0,0,0,1,0,38
5EFB,RANCHIRES19DEL01,22,4.6,1509.5756042661071,1,0,0,0,0,1,15
6043,MYSRES18DEL02,24,4.8,12434.91429512059,0,1,0,0,0,1,14
AD3D,SURRES03DEL02,36,4.9,7600.983953739471,0,1,0,0,0,1,28
C18D,AURGRES19DEL03,20,4.9,13736.27013435616,1,0,0,1,0,0,20
704D,BANGRES03DEL02,22,4.9,7762.499175710426,0,1,0,0,1,0,19
6724,JAPRES03DEL03,35,4.5,20851.598740135534,0,0,0,0,1,0,21
2DDB,HYDRES02DEL02,28,4.8,7684.1292841148515,0,0,1,0,0,1,28
7AC,MYSRES17DEL02,28,4.7,3108.970008422062,1,0,0,0,0,1,18
4E+24,INDORES19DEL02,29,4.2,3025.144329113472,0,0,1,0,0,1,33
3A41,CHENRES15DEL01,36,4.4,6209.485128886022,0,0,1,0,1,0,37
5A59,PUNERES03DEL02,26,5.0,7660.520124204573,0,0,0,0,0,1,26
5696,MYSRES11DEL02,27,4.7,20206.344895189715,0,0,0,0,1,0,18
49B5,PUNERES03DEL01,35,4.5,10724.430107278733,1,0,0,0,1,0,34
67C1,CHENRES07DEL01,21,4.6,6208.803959900656,1,0,0,0,0,1,13
C5A,MYSRES04DEL01,31,3.6,17098.467518756366,0,0,1,0,0,1,33
2287,MYSRES09DEL02,39,4.5,3108.988329766482,0,0,1,0,0,1,29
D754,GOARES010DEL01,38,4.7,6175.848827389754,0,0,1,0,0,1,22
A0B5,COIMBRES09DEL01,24,4.9,10906.28903651009,0,0,1,0,1,0,26
A15,PUNERES02DEL03,29,4.9,9192.571532077354,0,1,0,0,1,0,15
BD83,HYDRES06DEL01,20,4.7,6146.683594472918,0,0,0,0,0,1,10
72F3,JAPRES12DEL01,20,4.1,10427.668815940937,0,0,1,0,1,0,39
7E2B,RANCHIRES07DEL03,23,4.9,13583.06867027573,0,0,1,0,1,0,17
D5E3,KOCRES19DEL02,26,4.3,3121.406249532891,1,0,0,0,1,0,17
2EB1,CHENRES20DEL03,20,4.3,9314.965469326962,0,0,0,0,1,0,17
B941,CHENRES04DEL02,28,5.0,7761.726486394692,0,1,0,0,1,0,17
DEE,JAPRES11DEL02,29,4.6,2979.6261448298737,1,0,0,0,0,1,14
C66E,ALHRES16DEL02,22,3.2,11983.624793092555,0,0,0,0,0,1,41
5C22,VADRES04DEL02,23,5.0,7862.668167410368,1,0,0,0,1,0,21
3BA8,VADRES08DEL02,37,4.7,20442.92976252901,0,1,0,0,1,0,52
5337,CHENRES13DEL03,28,4.1,4657.153007153035,1,0,0,0,1,0,40
8461,MYSRES15DEL03,37,4.6,9326.113870790188,0,0,0,0,0,1,29
D3E9,BHPRES17DEL02,34,4.7,3020.282705089033,1,0,0,1,0,0,24
7576,SURRES03DEL03,21,4.5,4560.7340557693,0,1,0,1,0,0,17
3C9E,JAPRES09DEL01,33,5.0,1489.792976782923,0,0,0,0,1,0,27
C6F,COIMBRES19DEL03,27,4.6,14021.816217040834,0,0,1,0,1,0,21
8120,INDORES04DEL01,26,4.5,10586.824027282662,0,0,1,0,1,0,20
2C37,JAPRES17DEL02,31,4.7,19364.27479298626,0,1,0,0,0,1,27
D6DB,AURGRES14DEL03,24,4.6,9157.702644260813,0,0,1,1,0,0,19
7F1B,SURRES09DEL03,20,4.9,4560.890658020194,0,0,1,0,1,0,18
294A,HYDRES20DEL02,38,4.7,12291.841945089625,1,0,0,0,1,0,45
ABCD,CHENRES04DEL01,20,4.9,17074.78648593785,0,0,1,0,1,0,31
A4A7,INDORES11DEL01,23,4.5,6049.968949183629,1,0,0,0,1,0,22
4563,HYDRES13DEL01,25,5.0,6147.076220357757,0,0,1,0,0,1,20
9F2B,COIMBRES01DEL01,37,4.7,17137.660049153637,0,0,1,0,0,1,21
438F,BANGRES010DEL01,39,4.6,6210.618323093114,0,1,0,0,0,1,23
4378,HYDRES12DEL02,25,4.6,12293.56968829498,1,0,0,0,0,1,25
5FD2,MYSRES16DEL03,37,4.6,13989.695713800042,0,1,0,0,1,0,27
2345,HYDRES06DEL03,29,4.6,13829.131656291405,0,1,0,0,1,0,44
C065,KOCRES010DEL01,21,4.8,2239606.6383100934,0,0,0,0,1,0,23
A63F,RANCHIRES17DEL03,32,4.3,13582.342704259934,1,0,0,0,0,1,39
D245,AGRRES010DEL03,22,4.2,13392.708074822767,0,1,0,0,0,1,39
DC3D,AURGRES18DEL02,33,4.6,19838.818061195743,1,0,0,0,0,1,19
57D7,VADRES02DEL02,32,4.3,12580.267822400961,0,1,0,0,1,0,38
B13C,CHENRES09DEL01,28,4.8,6209.259882042438,0,0,0,0,0,1,27
65C6,VADRES16DEL01,39,5.0,11007.734763744618,0,0,0,0,1,0,46
ADB0,RANCHIRES010DEL02,31,4.6,7546.800541055667,1,0,0,0,1,0,21
A696,INDORES15DEL02,25,4.3,19658.82871745452,0,0,0,0,1,0,35
8289,SURRES010DEL01,21,4.8,1520.3682291089563,0,0,0,0,0,1,16
1DD3,MYSRES08DEL03,31,4.8,13990.192142065474,1,0,0,0,1,0,42
C060,KNPRES07DEL02,30,4.6,5896006.237482067,0,0,0,0,1,0,42
4182,SURRES20DEL01,29,4.6,6081.5359371836,0,0,0,0,1,0,16
8A90,MYSRES16DEL01,29,4.5,17098.196997717194,0,0,0,0,0,1,14
809D,INDORES19DEL01,34,5.0,16635.770753608118,1,0,0,0,1,0,42
DA65,BHPRES13DEL01,32,4.4,6040.113680144417,0,0,1,0,1,0,36
8F4F,INDORES04DEL03,24,4.8,9074.573554009332,0,0,1,0,1,0,24
B9FD,JAPRES13DEL01,36,4.7,5960.345509793814,0,1,0,0,1,0,36
C840,GOARES11DEL02,39,4.7,12351.181659045928,1,0,0,0,1,0,37
A2CC,COIMBRES15DEL03,22,4.9,9348.356419300964,0,0,1,0,1,0,15
2128,MYSRES05DEL01,26,4.6,1554.506379042249,0,0,0,0,0,1,17
3A1B,COIMBRES04DEL01,39,4.1,10905.993510336524,0,0,1,0,1,0,37
BE9D,COIMBRES11DEL01,28,4.9,10906.41450035058,1,0,0,0,1,0,23
6D9,MUMRES02DEL01,21,4.8,1529.3087736828395,0,0,0,0,1,0,17
59D5,MYSRES17DEL02,27,4.8,12435.183278612343,0,1,0,0,0,1,36
2E+39,SURRES02DEL02,22,4.9,7600.990561376369,0,0,1,0,0,1,10
2BC5,SURRES19DEL01,32,4.9,6081.595038517454,0,0,1,0,0,1,23
5722,RANCHIRES13DEL01,38,3.9,10564.405615162721,0,0,1,0,1,0,42
C5A7,LUDHRES03DEL03,31,4.7,4395.530071409432,1,0,0,0,1,0,21
99C9,RANCHIRES14DEL02,36,3.5,12580.267822400961,0,0,1,0,1,0,34
9C5A,COIMBRES010DEL01,28,4.9,17138.041435509775,1,0,0,1,0,0,12
9BC3,JAPRES01DEL03,21,4.6,13406.355455305173,0,1,0,0,1,0,23
CDE4,AURGRES19DEL02,33,4.0,3052.8213653154194,0,0,0,0,1,0,31
1405,MYSRES01DEL02,38,3.6,12435.53817483714,0,0,0,0,1,0,31
ECC,HYDRES07DEL01,30,4.9,10757.168277315759,0,0,0,0,1,0,39
6135,JAPRES11DEL03,36,4.1,13406.473968860279,0,0,0,0,1,0,43
72FC,MYSRES08DEL01,20,4.0,17098.804215243057,0,0,1,0,0,1,44
57B3,INDORES11DEL03,35,4.4,9074.647672837385,0,0,0,0,1,0,28
AF10,COIMBRES20DEL03,37,4.1,4674.3931327412665,0,0,0,0,1,0,35
BB86,CHENRES08DEL03,38,4.8,4657.195393807256,0,1,0,0,0,1,28
D6BD,AGRRES06DEL03,25,4.7,4717.601092054723,1,0,0,0,1,0,29
A191,SURRES04DEL02,21,4.8,12161.512247541807,0,0,0,0,1,0,29
2537,JAPRES05DEL01,26,4.9,5958.963420480979,0,0,0,0,0,1,26
BC80,BANGRES07DEL02,35,4.8,3105.095437473068,0,0,1,0,1,0,24
1113,COIMBRES14DEL03,23,4.7,14022.253080995733,0,1,0,0,1,0,34
B7FE,BANGRES12DEL03,27,4.8,4657.952854119633,0,0,0,0,1,0,25
AF9D,JAPRES13DEL03,26,4.5,8940.16771984085,0,0,1,0,1,0,20
4EDA,COIMBRES06DEL03,28,4.9,14021.84017066128,0,0,0,0,0,1,15
B42A,PUNERES010DEL01,23,5.0,16852.444613264724,1,0,0,0,1,0,34
5ECC,MYSRES04DEL02,38,4.9,3109.0734109476903,0,0,1,0,1,0,29
4B04,RANCHIRES02DEL01,26,4.8,11007.734763744618,0,1,0,0,1,0,19
9378,MUMRES07DEL01,37,4.8,16826.241648658564,0,0,0,0,1,0,36
CA0E,KOLRES01DEL03,20,4.7,13622.085234490496,1,0,0,0,1,0,19
3FDF,BANGRES18DEL02,27,4.8,3105.492716560804,1,0,0,0,1,0,15
A77F,VADRES09DEL01,36,4.6,17297.86575291325,0,1,0,0,1,0,40
B2CF,BANGRES18DEL01,24,4.6,10868.693504672912,0,0,1,0,0,1,38
D8C2,LUDHRES08DEL03,33,4.9,4395.281348843725,0,1,0,0,1,0,30
5991,CHENRES03DEL03,33,4.7,4656.557579510579,0,0,0,0,0,1,17
D53C,BHPRES08DEL02,28,4.7,3020.14242896643,0,0,1,0,1,0,18
9C8F,BANGRES17DEL01,34,4.6,1552.5809531930488,0,0,1,0,0,1,25
D627,ALHRES16DEL02,36,4.8,7490.185430661139,0,0,0,0,1,0,22
837E,JAPRES13DEL01,21,4.8,16388.699354722634,0,0,1,0,0,1,42
4D8F,COIMBRES02DEL01,32,4.8,10906.036622245398,0,1,0,0,1,0,40
A070,VADRES17DEL02,31,4.9,12580.267822400961,0,0,1,0,0,1,28
6046,MYSRES03DEL02,21,4.9,3109.125335839928,0,1,0,0,1,0,16
78CB,MUMRES12DEL01,23,4.4,16820.660300217365,1,0,0,0,1,0,36
3C37,MYSRES12DEL02,31,4.6,20207.79793335838,1,0,0,0,1,0,27
C630,AGRRES08DEL03,35,4.0,8929.086888936337,0,1,0,0,1,0,24
2996,SURRES01DEL03,34,4.9,9121.049806498057,0,0,1,0,1,0,29
6221,RANCHIRES18DEL01,37,4.9,1509.4795212265778,1,0,0,0,0,1,10
8CD6,CHENRES16DEL01,25,5.0,10865.776701899593,0,0,0,0,0,1,21
5F2B,CHENRES07DEL01,26,4.9,6208.803959900656,1,0,0,1,0,0,23
11C0,VADRES19DEL02,37,4.9,19688.30862050937,1,0,0,0,0,1,18
B4F8,INDORES14DEL02,23,5.0,19658.727827948343,0,1,0,0,1,0,13
321B,COIMBRES17DEL02,22,4.6,3116.121839413346,1,0,0,0,1,0,16
10FB,CHENRES08DEL01,34,3.7,10866.36090788621,1,0,0,0,0,1,34
998A,HYDRES16DEL03,36,4.8,9220.147515420278,0,0,0,0,1,0,27
3064,VADRES05DEL02,39,4.6,12116.939023592979,0,0,1,0,0,1,26
A9A,INDORES17DEL02,29,4.6,3024.9845915967644,0,1,0,0,0,0,24
7FA5,MYSRES05DEL01,33,4.6,17097.97286136178,1,0,0,0,1,0,42
3087,MUMRES15DEL03,20,4.7,9176.379825814594,0,0,1,0,0,1,12
C116,ALHRES06DEL03,29,4.6,4717.601092054723,0,1,0,0,1,0,21
9EB5,RANCHIRES06DEL01,38,4.9,1509.446658639814,0,1,0,0,1,0,23
2AB5,BANGRES05DEL01,20,4.7,1552.5876685605667,1,0,0,1,0,0,10
BE25,INDORES19DEL01,20,4.0,1512.5976112066862,0,0,0,0,0,1,32
2B1C,SURRES03DEL03,33,4.7,4560.7340557693,0,1,0,0,1,0,30
206B,COIMBRES010DEL03,39,4.1,14022.26886018208,0,1,0,0,1,0,42
D876,DEHRES11DEL03,34,4.4,9435.201537430712,0,0,1,0,0,1,33
DD6F,LUDHRES010DEL01,39,4.2,1465.2050018982159,0,0,1,0,1,0,25
7667,COIMBRES09DEL02,34,4.7,3116.2127416120884,1,0,0,0,1,0,24
B502,RANCHIRES06DEL01,36,4.7,16601.04618940292,1,0,0,0,1,0,38
DF9C,KOCRES20DEL01,25,4.8,17166.085007858386,0,0,1,0,1,0,44
A301,CHENRES01DEL02,30,4.9,12418.98167230392,0,1,0,0,1,0,40
87F1,JAPRES14DEL01,25,4.6,16385.98063528595,0,0,1,0,1,0,28
81F6,JAPRES19DEL03,33,5.0,13405.971717381835,0,0,0,0,0,1,17
DFF,MUMRES15DEL01,26,4.6,10705.622903497022,1,0,0,0,0,1,20
A7F9,BANGRES12DEL02,30,4.2,20182.482607604827,0,0,0,0,1,0,35
A50B,HYDRES11DEL03,32,4.5,13830.053479838756,0,0,1,0,1,0,19
67F9,CHENRES08DEL02,28,4.6,12418.575637818305,1,0,0,0,0,1,16
367F,COIMBRES07DEL02,23,5.0,7790.944138439638,0,1,0,0,0,1,24
